session_establishment_rate,session_modification_rate,session_deletion_rate,pfcp_message_type,sequence_number,average_latency_ms,packet_loss_rate,jitter_ms,bandwidth_utilization,slice_type_encoded,qos_flow_identifier,pdu_session_type,dnn_encoded,protocol_version,message_length,node_type_encoded,encryption_strength,authentication_method,certificate_validity,peak_hour_indicator,weekend_indicator,geographic_region,cpu_utilization,memory_utilization,network_congestion_level,handover_success_rate,beam_management_efficiency,massive_mimo_gain,carrier_aggregation_bands,inter_arrival_time,burst_size,flow_duration,throughput_latency_ratio,efficiency_score,anomaly_score,time_since_last_session,session_frequency,periodic_pattern_strength,user_experience_quality,network_reliability_score,service_availability,edge_processing_delay,cloud_offload_ratio,mec_utilization,attack_type,label
1072.9548778586973,507.8516946585994,673.3234505084143,228,43783.0,344.67888483944307,0.20289282677627543,50.544131884277704,93.88352181520554,1.0,3.0,0,4.0,3.0,49326.0,0.0,256,7.0,167.0,1,0,9.0,98.32221185846949,88.31457073856552,3.0,0.6536354450396935,0.6048409321194674,6.887945563625532,4.0,0.0011635317987498323,540.0,1879.8423128686604,3.1129115389777846,0.6136559756357565,0.9664442371693898,0.10264819427186256,66.43653437797805,0.8467011834797779,1.6151829144301215,0.6205501188944142,0.9015756338169961,29.746381391921396,0.8094170711060874,0.9321886550097105,Stress_buffer_overflow,1
0.0,0.0,0.0,1,658.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,50.0,0.0,128,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edge_Case_missing_equivalent,1
1496.4043524745298,4299.234092452995,416.85810194672405,87,5212.0,193.04381938943806,0.3289844994681351,85.26213448270093,88.06040235095763,1.0,19.0,1,8.0,3.0,7087.0,2.0,512,6.0,200.0,1,1,3.0,99.51544828493438,85.92456438663672,4.0,0.6047775028791641,0.33580143830930537,11.478694930786512,7.0,0.059571468778414606,2099.9286992834895,1321.214560891291,7.7516304702599665,0.5325695023634662,0.9903089656986875,0.2559458811315727,127.6021056824094,0.9336933032920711,1.5043676896102371,0.6281244407318642,0.9197797561753289,44.89687297051191,0.8251204641819337,0.8779332281280593,Stress_cpu_overload,0
870.2358662032143,753.0224366084092,414.7451435485966,169,35079.0,421.03209158979405,0.10700512323493983,85.38771323443568,92.69316957564067,0.0,51.0,1,11.0,2.0,5637.0,0.0,512,5.0,224.0,1,1,11.0,89.90029823444468,88.24631411778547,4.0,0.5591513776878166,0.638895812168848,5.1509733891162135,4.0,0.0006321656819640726,283.0,3012.238568149701,2.0669110112657956,0.5182951347046989,0.7980059646888935,0.009982882291054769,2702.912631861477,0.9169444661871914,1.5189963618584215,0.5428587662032617,0.9283562930308125,34.12483083780584,0.8409206183863731,0.9072624537229467,Stress_race_condition,4
1005.6246546283683,246.41349269224685,645.6897297304321,120,52238.0,122.5643895575859,0.42622476250050967,23.14961255060979,96.09432465054478,4.0,40.0,0,14.0,2.0,5849.0,6.0,128,8.0,348.0,1,0,6.0,97.862626264086,98.06307484859482,3.0,0.600787424450303,0.3144104266712593,12.91479985100526,3.0,0.000822772893904232,317.0,771.2400968071374,8.20486813713443,0.5773226181109206,0.9572525252817201,0.0021092041007433086,7286.060841969466,0.9736210096777245,2.976041858861839,0.5141592354344572,0.9216661956944316,8.841133226887305,0.8495334004869219,0.8273317560551381,Stress_race_condition,2
1000.0,0.0,0.0,1,743.0,0.1,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,50.0,0.0,128,0.0,1.0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10000.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edge_Case_correlation_breaks,1
1000.0,0.0,0.0,1,1347.0,0.1,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,50.0,0.0,128,0.0,1.0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10000.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edge_Case_correlation_breaks,0
1000.0,0.0,0.0,1,828.0,0.1,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,50.0,0.0,128,0.0,1.0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10000.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edge_Case_correlation_breaks,1
0.0,0.0,0.0,1,862.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,50.0,0.0,128,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,0.0,3600.0,0.0,0.0,1.0,86400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edge_Case_temporal_anomalies,1
1581.365490319079,250.69433610305396,1308.7435093286988,6,39393.0,7323.715725980848,0.7607379219824775,824.6245132159265,99.9159943781445,4.0,9.0,1,7.0,2.0,3982.0,4.0,512,3.0,282.0,1,0,3.0,87.55256690035162,97.54827007734607,4.0,0.6176235405111946,0.5010320007224158,14.883412205118235,3.0,0.0976367260454923,427.0,1520.2365069497062,0.21592393116914577,0.6171047020152622,0.7510513380070324,0.7524026599262512,178.29010707074036,0.9692510647579842,2.1721393276618137,0.6111705875154609,0.9010527231089629,35.55888838077755,0.9025061132135256,0.814774083012471,Stress_network_saturation,2
