,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
701,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,12/10/2022 11:43:34 PM,110014747,22,22,352.0,352.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.399142107739428,0.3999463817337143,2558482.488372092,4702455.074759426,11001527.0,5.0,110014639.0,5238792.333333334,5629732.357967991,11001527.0,126.0,110014559.0,5238788.523809523,5630043.349041582,11001824.0,42.0,0,0,0,0,176,176,0.1999731908668571,0.1999731908668571,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.363636363636363,16.0,16.0,0,0,0,0,0,0,22,352,22,352,-1,-1,22,0,414.3,148.77578207938728,609.0,189.0,11001001.4,399.6668612732326,11001527.0,11000451.0,Mal_Del
680,157.90.35.62-172.21.0.110-0-0-0,172.21.0.110,0,157.90.35.62,0,0,22/11/2022 05:01:17 PM,119846997,117,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.969177417102908,509987.22127659566,473903.57935408,993390.0,37210.0,118783496.0,1023995.6551724138,3019.760520604094,1031824.0,1016058.0,119846997.0,1015652.5169491528,90908.3880288031,1048850.0,38275.0,0,0,0,0,0,0,0.976244736445086,0.9929326806578224,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,117,0,119,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
950,172.21.0.100-172.21.0.120-80-34460-6,172.21.0.120,34460,172.21.0.100,80,6,04/10/2022 10:48:29 PM,110008141,35,25,1687.0,497.0,81.0,0.0,48.2,35.930324731264506,65.0,0.0,19.880000000000003,20.441624201613728,19.85307614642811,0.5454141798469261,1864544.7627118644,3928072.619758811,10000865.0,5.0,110008013.0,3235529.794117647,4748545.747791427,10000865.0,60.0,110008127.0,4583671.958333334,5089855.294346746,10001072.0,109.0,0,1,0,0,1120,800,0.3181582715773735,0.2272559082695525,0.0,81.0,36.8688524590164,33.27234858449082,1107.0491803278685,0,0,0,1,1,0,0,0,0.0,37.48333333333333,48.2,19.88,0,0,0,0,0,0,35,1687,25,497,-1,501,23,0,507.6363636363637,105.2209795879821,610.0,229.0,10000185.727272728,537.768368521001,10000865.0,9999159.0,Mal_Estab
731,172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,01/11/2022 03:09:35 PM,110026209,35,25,1687.0,485.0,81.0,0.0,48.2,35.930324731264506,65.0,0.0,19.399999999999995,19.91230775173988,19.740751042326654,0.545324614428913,1864851.0,3928819.727753397,10005069.0,2.0,110026169.0,3236063.7941176468,4749472.068230555,10005069.0,40.0,110026203.0,4584425.125,5090856.101797472,10005316.0,78.0,0,1,0,0,1120,800,0.3181060250835326,0.2272185893453804,0.0,81.0,36.672131147541,33.24691530126036,1105.35737704918,0,0,0,1,1,0,0,0,0.0,37.28333333333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,290.1818181818182,91.75818021497392,497.0,182.0,10002039.272727272,1338.43416654744,10005069.0,10000412.0,Mal_Mod
409,172.21.0.107-172.21.0.110-8805-8805-17,172.21.0.107,8805,172.21.0.110,8805,17,01/11/2022 03:23:30 PM,119927826,1086,1088,59936.0,22773.0,56.0,16.0,55.18968692449354,5.637835033505946,56.0,16.0,20.9310661764706,1.2760009557358911,689.6564605448614,18.127569493338434,55189.97975149576,56140.77133511614,151983.0,46.0,119819909.0,110433.09585253445,16430.755423080565,152184.0,703.0,119927826.0,110329.18675252996,16769.885705336925,152310.0,147.0,0,0,0,0,8688,8704,9.05544639823622,9.072123095102215,16.0,56.0,38.05287356321844,17.613593995569666,310.2386934407678,0,0,0,0,0,0,0,0,1.0,38.0703771849126,55.18968692449356,20.931066176470587,0,0,0,0,0,0,1086,59936,1088,22773,-1,-1,1086,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
970,172.21.0.107-172.21.0.110-8805-8805-17,172.21.0.107,8805,172.21.0.110,8805,17,22/11/2022 03:59:23 PM,119896301,1024,1,57344.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,56.0,0.0,478.74704658319695,8.549054403271374,117086.23144531272,12277.226947689407,208684.0,91449.0,119772349.0,117079.52003910078,12281.352450246732,208684.0,91449.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8192,8,8.540713862390133,0.0083405408812403,56.0,56.0,56.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,56.05463414634146,56.0,56.0,0,0,0,0,0,0,1024,57344,1,56,-1,-1,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
973,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,04/10/2022 11:10:34 PM,120000000,1637,1637,30232.0,236272.0,21.0,16.0,18.46792913866832,2.5005581626028923,276.0,16.0,144.33231521075143,130.02902445535045,2220.866666666667,27.28333333333333,36663.61136571944,37828.931939491165,132298.0,9.0,119999578.0,73349.37530562344,15197.877845450565,132730.0,79.0,119999594.0,73349.38508557448,15178.932772341945,132735.0,93.0,0,0,0,0,13096,13096,13.641666666666667,13.641666666666667,16.0,276.0,81.45954198473301,111.4619123626912,12423.757907548254,0,0,0,0,0,0,0,0,1.0,81.48442272449603,18.467929138668296,144.33231521075135,0,0,0,0,0,0,1637,30232,1637,236272,-1,-1,1637,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mal_Estab
392,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.120,8805,172.21.0.110,8805,17,01/11/2022 03:06:31 PM,110012229,21,23,336.0,368.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.399288573636663,0.3999555358522914,2558423.930232559,4702451.487996267,11001711.0,8.0,110011996.0,5500599.800000001,5643379.1603165865,11001759.0,18.0,110012130.0,5000551.363636363,5606546.522720599,11001796.0,24.0,0,0,0,0,168,184,0.1908878693840482,0.2090676664682432,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.363636363636363,16.0,16.0,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,262.3,136.23105372858276,536.0,110.0,11000936.4,471.76057957883694,11001711.0,11000163.0,Mal_Mod
959,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,04/10/2022 10:56:34 PM,119946803,1516,1516,27991.0,218476.0,21.0,16.0,18.46372031662273,2.500561602585754,276.0,16.0,144.11345646438,130.02920333445914,2054.802577772748,25.277872558220665,39573.34312108216,41124.700087853445,134921.0,11.0,119946390.0,79172.53465346529,17713.60852831534,135335.0,136.0,119946331.0,79172.49570957113,17718.888016374058,135434.0,46.0,0,0,0,0,12128,12128,12.638936279110332,12.638936279110332,16.0,276.0,81.35278602044188,111.40380998100709,12410.808878284335,0,0,0,0,0,0,0,0,1.0,81.37961741424802,18.46372031662269,144.11345646437994,0,0,0,0,0,0,1516,27991,1516,218476,-1,-1,1516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mal_Estab
842,172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,01/11/2022 04:23:37 PM,110043978,35,25,1687.0,485.0,81.0,0.0,48.2,35.930324731264506,65.0,0.0,19.399999999999995,19.91230775173988,19.73756346758021,0.5452365598779063,1865152.1694915253,3929300.8895876617,10007620.0,2.0,110043807.0,3236582.5588235296,4750018.874372786,10007620.0,79.0,110043974.0,4585165.583333332,5091467.454124947,10007820.0,87.0,0,1,0,0,1120,800,0.3180546599287787,0.2271818999491276,0.0,81.0,36.672131147541,33.24691530126036,1105.35737704918,0,0,0,1,1,0,0,0,0.0,37.28333333333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,633.8181818181819,377.49220341136,1649.0,282.0,10003336.81818182,2382.8771608364405,10007620.0,10000432.0,Mal_Mod
